Name,2023 rank,ICT rank,Skills rank,R&D rank,Industry rank,Finance rank,developing
South Africa,56,71,77,36,67,25,0
Costa Rica,57,63,53,88,39,67,0
Ukraine,58,61,42,49,85,114,1
Montenegro,59,49,39,113,81,68,1
Bahrain,60,48,58,87,94,50,0
Mexico,61,70,73,45,31,96,0
Viet Nam,62,69,117,41,23,11,0
Uruguay,63,55,47,84,63,116,0
Oman,64,52,86,51,91,63,0
Argentina,65,74,41,62,75,141,0
Tunisia,66,88,61,66,42,45,0
Qatar,67,36,115,56,115,15,0
Kazakhstan,68,82,36,69,69,124,0
Brunei Darussalam,69,54,38,95,97,93,0
Morocco,70,73,113,53,55,33,0
Panama,71,66,89,102,40,27,0
Colombia,72,79,85,55,79,76,0
Mauritius,73,96,57,82,74,34,0
North Macedonia,74,64,67,94,61,73,1
Iran (Islamic Republic of),75,78,74,35,118,62,0
Bosnia and Herzegovina,76,60,84,89,78,71,1
Lebanon,77,84,76,77,86,26,0
Armenia,78,65,63,105,98,54,0
Georgia,79,77,56,96,88,46,0
Jordan,80,80,101,61,64,43,0
Bahamas,81,38,72,116,114,82,0
Moldova (Republic of),82,53,97,93,70,117,1
Egypt,83,91,66,47,90,119,0
Peru,84,86,59,72,136,74,0
Indonesia,85,102,107,50,47,97,0
Fiji,86,87,78,106,89,22,0
Trinidad and Tobago,87,59,70,131,108,91,0
Albania,88,68,81,109,99,98,1
Sri Lanka,89,115,82,75,83,85,0
Ecuador,90,89,96,76,113,87,0
Belize,91,85,80,127,132,59,0
Dominican Republic,92,76,93,145,62,108,0
Mongolia,93,83,68,120,149,88,0
Jamaica,94,72,95,143,126,72,0
Saint Lucia,95,93,65,160,104,52,0
Azerbaijan,96,81,94,85,141,121,0
Algeria,97,112,83,65,162,111,0
Paraguay,98,67,105,131,133,86,0
Suriname,99,92,62,160,110,127,0
Saint Vincent and the Grenadines,100,90,71,160,131,83,0
Bolivia (Plurinational State of),101,101,88,134,144,56,0
El Salvador,102,100,125,131,59,66,0
Maldives,103,98,60,149,158,79,0
Namibia,104,129,111,104,66,53,0
Samoa,105,125,91,135,127,35,0
Nepal,106,123,126,100,112,39,0
Iraq,107,104,100,44,164,158,0
Botswana,108,109,102,103,128,94,0
Ghana,109,99,122,81,107,154,0
Guyana,110,113,119,160,87,95,0
Gabon,111,105,98,149,76,148,0
Cambodia,112,122,123,121,95,14,0
Kyrgyzstan,113,107,103,119,111,113,0
Guatemala,114,103,136,143,71,101,0
Cabo Verde,115,97,110,160,153,51,0
Bhutan,116,108,106,137,160,55,0
Kenya,117,120,135,83,93,107,0
Eswatini,118,141,114,124,72,131,0
Nigeria,119,119,108,68,157,153,0
Venezuela (Bolivarian Rep. of),120,121,87,111,159,110,0
Lesotho,121,110,129,123,92,130,0
Libya,122,151,99,97,145,104,0
Honduras,123,118,139,109,123,58,0
Nicaragua,124,106,116,160,122,109,0
Pakistan,125,149,159,43,82,138,0
Bangladesh,126,148,131,67,135,90,0
United Republic of Tanzania,127,131,164,79,65,150,0
Senegal,128,116,155,92,116,112,0
Timor-Leste,129,159,104,140,60,143,0
Angola,130,127,121,145,109,152,0
Papua New Guinea,131,150,138,111,84,136,0
Congo,132,136,127,137,105,149,0
Myanmar,133,132,143,107,101,118,0
Lao People's Dem. Rep.,134,130,134,152,56,133,0
Cameroon,135,137,120,101,117,146,0
Cote d'Ivoire,136,114,146,128,125,132,0
Sao Tome and Principe,137,143,112,160,96,134,0
Uganda,138,133,137,91,120,147,0
Rwanda,139,134,142,99,137,126,0
Burkina Faso,140,128,162,126,129,115,0
Malawi,141,153,141,117,102,155,0
Togo,142,144,130,146,134,120,0
Benin,143,152,128,126,124,142,0
Vanuatu,144,146,124,160,156,65,0
Mali,145,138,165,118,100,123,0
Madagascar,146,124,152,140,142,139,0
Zambia,147,142,133,115,155,144,0
Zimbabwe,148,126,140,111,148,162,0
Tajikistan,149,160,118,140,138,151,0
Djibouti,150,135,163,160,68,135,0
Solomon Islands,151,147,144,160,147,106,0
Mozambique,152,140,156,123,154,125,0
Mauritania,153,139,160,137,150,128,0
Haiti,154,111,153,160,146,157,0
Ethiopia,155,162,161,80,106,137,0
Comoros,156,157,132,160,140,145,0
Guinea,157,154,158,149,130,156,0
Burundi,158,161,148,149,152,129,0
Yemen,159,165,154,90,121,164,0
Gambia,160,145,151,149,161,159,0
Sierra Leone,161,158,149,131,143,163,0
Dem. Rep. of the Congo,162,155,145,131,163,161,0
Sudan,163,156,157,99,165,160,0
Afghanistan,164,164,150,114,151,165,0
Guinea-Bissau,165,163,147,160,166,140,0
South Sudan,166,166,166,160,139,166,0
