Name,Total score,2023 rank,2021 rank,Change in rank,Score group,ICT rank,Skills rank,R&D rank,Industry rank,Finance rank,developing
Moldova (Republic of),0.5,82,81,6,Lower middle,53,97,93,70,117,1
Egypt,0.49,83,87,5,Lower middle,91,66,47,90,119,0
Peru,0.49,84,89,5,Lower middle,86,59,72,136,74,0
Indonesia,0.49,85,82,6,Lower middle,102,107,50,47,97,0
Fiji,0.47,86,88,5,Lower middle,87,78,106,89,22,0
Trinidad and Tobago,0.47,87,75,6,Lower middle,59,70,131,108,91,0
Albania,0.46,88,85,6,Lower middle,68,81,109,99,98,1
Sri Lanka,0.45,89,86,6,Lower middle,115,82,75,83,85,0
Ecuador,0.43,90,90,0,Lower middle,89,96,76,113,87,0
Belize,0.43,91,97,5,Lower middle,85,80,127,132,59,0
Dominican Republic,0.43,92,95,5,Lower middle,76,93,145,62,108,0
Mongolia,0.42,93,110,5,Lower middle,83,68,120,149,88,0
Jamaica,0.42,94,96,5,Lower middle,72,95,143,126,72,0
Saint Lucia,0.41,95,93,6,Lower middle,93,65,160,104,52,0
Azerbaijan,0.4,96,100,5,Lower middle,81,94,85,141,121,0
Algeria,0.4,97,98,5,Lower middle,112,83,65,162,111,0
Paraguay,0.4,98,102,5,Lower middle,67,105,131,133,86,0
Suriname,0.4,99,92,6,Lower middle,92,62,160,110,127,0
Saint Vincent and the Grenadines,0.39,100,120,5,Lower middle,90,71,160,131,83,0
Bolivia (Plurinational State of),0.38,101,116,5,Lower middle,101,88,134,144,56,0
El Salvador,0.37,102,106,5,Lower middle,100,125,131,59,66,0
Maldives,0.37,103,114,5,Lower middle,98,60,149,158,79,0
Namibia,0.36,104,91,6,Lower middle,129,111,104,66,53,0
Samoa,0.36,105,NA,NA,Lower middle,125,91,135,127,35,0
Nepal,0.35,106,109,5,Lower middle,123,126,100,112,39,0
Iraq,0.35,107,126,5,Lower middle,104,100,44,164,158,0
Botswana,0.35,108,111,5,Lower middle,109,102,103,128,94,0
Ghana,0.35,109,103,6,Lower middle,99,122,81,107,154,0
Guyana,0.35,110,108,6,Lower middle,113,119,160,87,95,0
Gabon,0.35,111,94,6,Lower middle,105,98,149,76,148,0
Cambodia,0.34,112,113,5,Lower middle,122,123,121,95,14,0
Kyrgyzstan,0.34,113,115,5,Lower middle,107,103,119,111,113,0
Guatemala,0.34,114,104,6,Lower middle,103,136,143,71,101,0
Cabo Verde,0.33,115,101,6,Lower middle,97,110,160,153,51,0
Bhutan,0.32,116,NA,NA,Lower middle,108,106,137,160,55,0
Kenya,0.32,117,105,6,Lower middle,120,135,83,93,107,0
Eswatini,0.32,118,107,6,Lower middle,141,114,124,72,131,0
Nigeria,0.32,119,124,5,Low,119,108,68,157,153,0
Venezuela (Bolivarian Rep. of),0.31,120,99,6,Low,121,87,111,159,110,0
Lesotho,0.31,121,NA,NA,Low,110,129,123,92,130,0
Libya,0.31,122,117,6,Low,151,99,97,145,104,0
Honduras,0.3,123,122,6,Low,118,139,109,123,58,0
Nicaragua,0.29,124,125,5,Low,106,116,160,122,109,0
Pakistan,0.28,125,123,6,Low,149,159,43,82,138,0
Bangladesh,0.28,126,112,6,Low,148,131,67,135,90,0
United Republic of Tanzania,0.27,127,138,5,Low,131,164,79,65,150,0
Senegal,0.27,128,118,6,Low,116,155,92,116,112,0
Timor-Leste,0.27,129,144,5,Low,159,104,140,60,143,0
Angola,0.26,130,NA,NA,Low,127,121,145,109,152,0
Papua New Guinea,0.26,131,119,6,Low,150,138,111,84,136,0
Congo,0.26,132,135,5,Low,136,127,137,105,149,0
Myanmar,0.26,133,121,6,Low,132,143,107,101,118,0
Lao People's Dem. Rep.,0.25,134,127,6,Low,130,134,152,56,133,0
Cameroon,0.25,135,132,6,Low,137,120,101,117,146,0
Cote d'Ivoire,0.23,136,131,6,Low,114,146,128,125,132,0
Sao Tome and Principe,0.23,137,140,5,Low,143,112,160,96,134,0
Uganda,0.22,138,128,6,Low,133,137,91,120,147,0
Rwanda,0.22,139,133,6,Low,134,142,99,137,126,0
Burkina Faso,0.21,140,148,5,Low,128,162,126,129,115,0
Malawi,0.2,141,137,6,Low,153,141,117,102,155,0
Togo,0.19,142,129,6,Low,144,130,146,134,120,0
Benin,0.19,143,139,6,Low,152,128,126,124,142,0
Vanuatu,0.19,144,NA,NA,Low,146,124,160,156,65,0
Mali,0.19,145,141,6,Low,138,165,118,100,123,0
Madagascar,0.18,146,130,6,Low,124,152,140,142,139,0
Zambia,0.18,147,134,6,Low,142,133,115,155,144,0
Zimbabwe,0.17,148,136,6,Low,126,140,111,148,162,0
Tajikistan,0.17,149,143,6,Low,160,118,140,138,151,0
Djibouti,0.17,150,146,6,Low,135,163,160,68,135,0
Solomon Islands,0.16,151,NA,NA,Low,147,144,160,147,106,0
Mozambique,0.16,152,149,6,Low,140,156,123,154,125,0
Mauritania,0.16,153,147,6,Low,139,160,137,150,128,0
Haiti,0.15,154,154,0,Low,111,153,160,146,157,0
Ethiopia,0.15,155,150,6,Low,162,161,80,106,137,0
Comoros,0.14,156,142,6,Low,157,132,160,140,145,0
Guinea,0.14,157,153,6,Low,154,158,149,130,156,0
Burundi,0.12,158,145,6,Low,161,148,149,152,129,0
Yemen,0.1,159,156,6,Low,165,154,90,121,164,0
Gambia,0.09,160,157,6,Low,145,151,149,161,159,0
Sierra Leone,0.09,161,151,6,Low,158,149,131,143,163,0
Dem. Rep. of the Congo,0.09,162,158,6,Low,155,145,131,163,161,0
Sudan,0.08,163,155,6,Low,156,157,99,165,160,0
Afghanistan,0.08,164,152,6,Low,164,150,114,151,165,0
Guinea-Bissau,0.04,165,NA,NA,Low,163,147,160,166,140,0
South Sudan,0,166,NA,NA,Low,166,166,160,139,166,0
